indent,names,kind,pop_mil,lat,lon,iana,gv_id
                ,pontianak,city,0.607,-0.151,109.404,PNK,1239
                ,batam,city,,1.121,104.119,BTH,1240
                ,banda aceh,city,0.514,5.523,95.421,BTJ,1241
                ,fak fak,city,,-2.920,132.267,FKQ,1242
                ,padang,city,0.855,-0.787,100.281,PDG,1243
                ,aek godang,city,,1.400,99.430,AEG,1244
                ,baubau,city,0.024,-5.487,122.569,BUW,1245
                ,poso,city,0.047,-1.417,120.658,PSJ,1246
                ,maumere,city,0.104,-8.641,122.237,MOF,1247
                ,semarang,city,1.396,-6.973,110.375,SRG,1248
                ,samarinda,city,0.592,-0.485,117.157,SRI,1249
                ,bandar lampung,city,0.865,-5.241,105.176,TKG,1250
                ,praya,city,0.035,-8.757,116.277,LOP,1251
                ,malang,city,0.805,-7.927,112.715,MLG,1252
                ,melangguane,city,,4.007,126.673,MNA,1253
                ,surabaya,city,2.845,-7.380,112.787,SUB,1254
                ,nabire,city,0.044,-3.368,135.496,NBX,1255
                ,oksibil,city,,-4.907,140.628,OKL,1256
                ,kolaka,city,,,,PUM,1257
                ,utarom,city,,-3.645,133.696,KNG,1258
                ,kau,city,,1.185,127.896,KAZ,1259
                ,ende,city,0.077,-8.849,121.661,ENE,1260
                ,long apung,city,,1.704,114.970,LPU,1261
                ,balikpapan,city,0.446,-1.268,116.894,BPN,1262
                ,gunung sitoli,city,,1.166,97.705,GNS,1263
                ,tahuna,city,,3.683,125.528,NAH,1264
                ,saumlaki,city,,-7.989,131.306,SXK,1265
                ,tarakan,city,0.193,3.327,117.569,TRK,1266
                ,mamuju,city,,,,MJU,1267
                ,jambi,city,0.457,-1.638,103.644,DJB,1268
                ,jayapura,city,0.169,-2.577,140.516,DJJ,1269
                ,kotabaru,city,,,,KBU,1270
                ,merauke,city,0.034,-8.520,140.418,MKQ,1271
                ,manokwari,city,0.075,-0.892,134.049,MKW,1272
                ,pangkalpinang,city,0.126,-2.162,106.139,PGK,1273
                ,bima,city,,-8.540,118.687,BMU,1274
                ,langgur,city,,-5.662,132.731,LUV,1275
                ,luwuk,city,0.048,-1.039,122.772,LUW,1276
                ,gorontalo,city,0.365,0.637,122.850,GTO,1277
                ,waingapu,city,0.049,-9.669,120.302,WGP,1278
                ,tambolaka,city,,-9.410,119.244,TMC,1279
                ,kendari,city,0.165,-4.082,122.418,KDI,1280
                ,kerinci,city,,-2.093,101.468,KRC,1281
                ,dobo,city,,-5.772,134.212,DOB,1282
                ,wamena,city,,-4.103,138.957,WMX,1283
                ,sorong,city,0.126,-0.894,131.287,SOQ,1284
                ,ambon,city,0.356,-3.710,128.089,AMQ,1285
                ,makassar,city,1.262,-5.062,119.554,UPG,1286
                ,bakelalan,city,,3.974,115.618,BKM,1287
                ,bengkulu,city,0.427,-3.864,102.339,BKS,1288
                ,cut nyak dien,city,,4.250,96.217,MEQ,1289
                ,medan,city,2.115,3.559,98.671,MES,1290
                ,tanjung pinang,city,,0.923,104.532,TNJ,1291
                ,natuna,city,,3.909,108.388,NTX,1292
                ,datadawai,city,,0.811,114.531,DTD,1293
                ,sampit,city,0.093,-2.499,112.975,SMQ,1294
                ,manado,city,0.452,1.549,124.926,MDC,1295
                ,kupang,city,0.282,-10.172,123.671,KOE,1296
                ,atambua,city,,,,ABU,1297
                ,ketapang,city,,-1.817,109.963,KTG,1298
                ,putussibau,city,,0.836,112.937,PSU,1299
                ,labuan bajo,city,,-8.487,119.889,LBJ,1300
                ,pekanbaru,city,0.799,0.461,101.445,PKU,1301
                ,palangkaraya,city,0.148,-2.225,113.943,PKY,1302
                ,pangkalanbun,city,,-2.705,111.673,PKN,1303
                ,biak,city,0.104,-1.190,136.108,BIK,1304
                ,palu,city,0.612,-0.919,119.910,PLW,1305
                ,palembang,city,1.749,-2.898,104.700,PLM,1306
                ,irarutu,city,,-2.532,133.439,BXB,1307
                ,yogyakarta,city,0.637,-7.788,110.432,JOG,1308
                ,tembagapura,city,,-4.528,136.887,TIM,1309
                ,nunukan,city,,4.133,117.667,NNX,1310
                ,sintang,city,,0.064,111.473,SQG,1311
                ,bandung,city,2.394,-6.901,107.576,BDO,1312
                ,banjarmasin,city,0.604,-3.442,114.763,BDJ,1313
                ,jakarta,city,9.125,-6.126,106.656,CGK,1314
            ,timor leste,country,
                ,dili,city,0.234,-8.546,125.526,DIL,1427
            ,brunei,country,
                ,bandar seri begawan,city,0.296,4.944,114.928,BWN,1789
            ,singapore,country,
        ,eastern asia,region,
            ,"korea, dem. rep.|korea, north",country,
                ,pyongyang,city,3.300,39.224,125.670,FNJ,200
            ,china,country,
                ,hailar,city,,49.205,119.825,HLD,314
                ,xuzhou,city,,34.059,117.555,XUZ,316
                ,bayannur,city,,40.926,107.743,RLK,317
                ,xinyuan,city,,43.432,83.379,NLT,320
                ,hami,city,,42.841,93.669,HMI,321
                ,tianjin,city,,39.124,117.346,TSN,322
                ,burqin,city,,48.222,86.996,KJI,324
                ,chongqing,city,,29.719,106.642,CKG,325
                ,daocheng,city,,29.323,100.053,DCY,326
                ,baise,city,,23.721,106.960,AEB,331
                ,jiuzhaigou,city,,32.853,103.682,JZH,333
                ,wanzhou,city,,30.802,108.433,WXN,334
                ,mohe,city,,52.913,122.430,OHE,335
                ,yichun (jiangxi),city,,27.802,114.306,YIC,341
                ,wuyishan,city,,27.702,118.001,WUS,344
                ,ordos,city,,39.490,109.861,DSN,349
                ,dongying,city,,37.509,118.788,DOY,352
                ,erenhot,city,,43.422,112.097,ERL,356
                ,enshi,city,,30.320,109.485,ENH,360
                ,yan'an,city,,36.637,109.554,ENY,361
                ,bole,city,,44.895,82.300,BPL,364
                ,guyuan,city,,36.079,106.217,GYU,366
                ,zhoushan,city,,29.934,122.362,HSN,370
                ,yichun (heilongjiang),city,,47.752,129.019,LDS,374
                ,lijiang,city,,26.680,100.246,LJG,375
                ,deqen,city,,27.794,99.677,DIG,377
                ,lianyungang,city,,34.572,118.874,LYG,380
                ,yining,city,,43.956,81.330,YIN,383
                ,xiahe,city,,34.810,102.645,GXH,384
                ,yushu,city,,32.836,97.036,YUS,390
                ,qianjiang,city,,29.513,108.831,JIQ,393
                ,nyingchi,city,,29.303,94.335,LZY,396
                ,jinghong,city,,21.974,100.760,JHG,399
                ,aershan,city,,47.311,119.912,YIE,401
                ,yichang,city,,30.557,111.480,YIH,402
                ,yiwu,city,,29.345,120.032,YIW,403
                ,zhangjiajie,city,,29.103,110.443,DYG,404
                ,shiquande,city,,32.100,80.053,NGQ,409
                ,shanghai,city,,31.143,121.805,PVG,412
                ,mangshi,city,,24.401,98.532,LUM,414
                ,lincang,city,,23.738,100.025,LNJ,416
                ,panzhihua,city,,26.540,101.799,PZI,417
                ,nanchong,city,,30.795,106.163,NAO,418
                ,beijing,city,,40.080,116.585,PEK,420
                ,tengchong,city,,24.938,98.486,TCZ,421
                ,chizhou,city,,30.740,117.686,JUH,422
                ,jiagedaqi,city,,50.371,124.118,JGD,426
                ,huangshan,city,,29.733,118.256,TXN,443
                ,kangding,city,,30.157,101.735,KGT,444
                ,liping,city,,26.322,109.150,HZH,446
                ,meixian,city,,24.350,116.133,MXZ,447
                ,huai'an,city,,33.791,119.125,HIA,449
                ,bijie,city,,27.267,105.472,BFJ,452
                ,tianshui,city,,34.559,105.860,THQ,462
                ,huaihua,city,,27.441,109.700,HJJ,463
                ,wenshan,city,,,,WNH,464
                ,zhongwei,city,,37.573,105.154,ZHY,466
                ,xilinhot,city,,43.916,115.964,XIL,468
                ,hong kong,city,,22.309,113.915,HKG,473
                ,kashi,city,,39.543,76.020,KHG,474
                ,libo,city,,25.453,107.962,LLB,478
                ,yuncheng,city,,35.116,111.031,YCU,480
                ,datong,city,,40.060,113.482,DAT,486
                ,dazhou,city,,31.130,107.430,DAX,487
                ,anhui,state,
                    ,hefei,city,2.035,31.780,117.298,HFE,438
                    ,anqing,city,0.580,30.582,117.050,AQG,471
                ,fujian,state,
                    ,fuzhou,city,2.606,25.935,119.663,FOC,376
                    ,quanzhou,city,1.463,24.796,118.590,JJN,389
                    ,xiamen,city,2.519,24.544,118.128,XMN,430
                    ,longyan,city,0.368,25.675,116.747,LCX,467
                ,gansu,state,
                    ,dunhuang,city,0.140,40.161,94.809,DNH,340
                    ,lanzhou,city,2.561,36.515,103.620,LHW,343
                    ,jinchang,city,0.144,38.542,102.348,JIC,392
                    ,zhangye,city,0.231,38.802,100.675,YZY,410
                    ,jiayuguan,city,0.148,39.857,98.341,JGN,425
                ,guangdong,state,
                    ,shantou,city,1.601,23.552,116.503,SWA,363
                    ,guangzhou,city,8.829,23.392,113.299,CAN,455
                    ,zhanjiang,city,1.590,21.214,110.358,ZHA,469
                ,guizhou,state,
                    ,zunyi,city,0.849,27.590,107.001,ZYI,330
                    ,anshun,city,0.849,26.261,105.873,AVA,337
                    ,tongren,city,0.118,27.883,109.309,TEN,338
                    ,xingyi,city,0.816,25.086,104.959,ACX,437
                    ,guiyang,city,3.662,26.538,106.801,KWE,460
                ,hainan,state,
                    ,sanya,city,0.363,18.303,109.412,SYX,373
                    ,haikou,city,2.046,19.935,110.459,HAK,475
                ,hebei,state,
                    ,tangshan,city,1.879,,,TVS,332
                    ,handan,city,1.631,36.526,114.426,HDG,408
                    ,qinhuangdao,city,1.003,39.968,119.731,SHP,411
                    ,shijiazhuang,city,2.417,38.281,114.697,SJW,440
                ,heilongjiang,state,
                    ,daqing,city,1.693,46.746,125.141,DQA,329
                    ,jiamusi,city,1.020,46.843,130.465,JMU,336
                    ,jixi,city,0.965,45.293,131.193,JXA,357
                    ,harbin,city,3.621,45.623,126.250,HRB,358
                    ,heihe,city,0.109,50.172,127.309,HEK,433
                    ,mudanjiang,city,1.244,44.524,129.569,MDG,436
                    ,qiqihar,city,1.641,47.240,123.918,NDG,488
                ,henan,state,
                    ,luoyang,city,1.715,34.741,112.388,LYA,381
                    ,nanyang,city,1.944,32.981,112.615,NNY,432
                    ,zhengzhou,city,2.636,34.520,113.841,CGO,481
                ,hubei,state,
                    ,xiangyang,city,1.069,32.151,112.291,XFN,353
                    ,wuhan|hubei,city,7.243,30.784,114.208,WUH,477
                ,hunan,state,
                    ,changsha,city,2.604,28.189,113.220,CSX,456
                    ,yongzhou,city,1.000,26.339,111.610,LLF,479
                    ,changde,city,1.469,28.919,111.640,CGD,482
                ,jiangsu,state,
                    ,wuxi,city,1.749,31.494,120.429,WUX,346
                    ,changzhou,city,1.327,31.920,119.779,CZX,362
                    ,yangzhou,city,0.540,32.563,119.720,YTY,395
                    ,taizhou,city,0.612,28.562,121.429,HYN,434
                    ,yancheng,city,0.839,33.426,120.203,YNZ,442
                    ,nanjing,city,3.679,31.742,118.862,NKG,445
                    ,nantong,city,0.947,,,NTG,448
                ,jiangxi,state,
                    ,jiujiang,city,0.546,29.477,115.801,JIU,318
                    ,ji'an,city,0.520,26.857,114.737,JGS,427
                    ,jingdezhen,city,0.457,29.339,117.176,JDZ,435
                    ,ganzhou,city,1.500,25.853,114.779,KOW,450
                    ,nanchang,city,2.350,28.865,115.900,KHN,472
                ,jilin,state,
                    ,baishan,city,0.330,42.067,127.602,NBS,339
                    ,yanji,city,0.489,42.883,129.451,YNJ,441
                    ,changchun,city,3.183,43.996,125.685,CGQ,483
                ,liaoning,state,
                    ,jinzhou,city,0.956,41.101,121.062,JNZ,311
                    ,chaoyang,city,0.470,41.538,120.435,CHG,319
                    ,dalian,city,3.167,38.966,121.539,DLC,394
                    ,anshan,city,1.639,41.105,122.854,AOG,406
                    ,shenyang,city,4.787,41.640,123.483,SHE,413
                    ,dandong,city,0.870,40.025,124.286,DDG,428
                ,qinghai,state,
                    ,golmud,city,0.107,36.401,94.786,GOQ,369
                    ,xining,city,1.048,36.528,102.043,XNN,439
                ,shaanxi,state,
                    ,xi'an,city,4.009,34.447,108.752,XIY,348
                ,shandong,state,
                    ,jining,city,1.186,35.293,116.347,JNG,312
                    ,weifang,city,1.553,36.647,119.119,WEF,327
                    ,weihai,city,0.560,37.187,122.229,WEH,328
                    ,yantai,city,2.116,37.402,121.372,YNT,378
                    ,linyi,city,2.082,35.046,118.412,LYI,382
                    ,qingdao,city,2.866,36.266,120.374,TAO,391
                    ,jinan,city,2.798,36.857,117.216,TNA,476
                ,shanxi,state,
                    ,taiyuan,city,2.913,37.747,112.628,TYN,453
                    ,changzhi,city,0.706,36.248,113.126,CIH,485
                ,sichuan,state,
                    ,chengdu,city,4.123,30.579,103.947,CTU,315
                    ,yibin,city,0.902,28.801,104.545,YBP,323
                    ,guangyuan,city,0.437,32.391,105.702,GYS,367
                    ,luzhou,city,1.537,28.852,105.393,LZO,398
                    ,xichang,city,0.380,27.989,102.184,XIC,400
                    ,mianyang,city,1.396,31.428,104.741,MIG,405
                ,yunnan,state,
                    ,baoshan,city,1.000,25.053,99.168,BSD,354
                    ,simao,city,0.163,22.793,100.959,SYM,371
                    ,dali,city,0.157,25.649,100.319,DLU,388
                    ,zhaotong,city,0.809,27.326,103.755,ZAT,419
                    ,kunming,city,2.931,25.102,102.929,KMG,458
                ,zhejiang,state,
                    ,ningbo,city,1.923,29.827,121.462,NGB,407
                    ,quzhou,city,0.370,28.966,118.899,JUZ,423
                    ,fuyang,city,0.771,32.882,115.734,FUG,454
                    ,hangzhou,city,3.007,30.229,120.434,HGH,457
                    ,wenzhou,city,2.350,27.912,120.852,WNZ,465
                ,guangxi,state,
                    ,wuzhou,city,0.442,23.457,111.248,WUZ,345
                    ,yulin,city,1.127,38.360,109.591,UYN,387
                    ,liuzhou,city,1.497,24.207,109.391,LZH,397
                    ,beihai,city,0.729,21.539,109.294,BHY,451
                    ,guilin,city,0.987,25.218,110.039,KWL,461
                    ,nanning,city,2.167,22.608,108.172,NNG,470
                ,inner mongolia,state,
                    ,ulanhot,city,0.242,46.195,122.008,HLH,313
                    ,wuhai,city,0.218,39.793,106.799,WUA,347
                    ,baotou,city,2.036,40.560,109.997,BAV,355
                    ,manzhouli,city,0.094,49.567,117.330,NZH,359
                    ,tongliao,city,0.884,43.557,122.200,TGO,368
                    ,hohhot,city,1.726,40.851,111.824,HET,429
                    ,chifeng,city,1.277,42.235,118.908,CIF,484
                ,ningxia,state,
                    ,yinchuan,city,0.991,,,INC,350
                ,tibet,state,
                    ,xigaze,city,0.080,29.352,89.311,RKZ,342
                    ,qamdo,city,0.100,30.554,97.108,BPX,365
                    ,lhasa|tibet,city,0.220,29.298,90.912,LXA,372
                ,xinjiang,state,
                    ,korla,city,0.206,41.698,86.129,KRL,310
                    ,aksu,city,0.340,41.263,80.292,AKU,351
                    ,urumqi,city,2.151,43.907,87.474,URC,379
                    ,kuqa,city,0.111,41.678,82.873,KCA,385
                    ,hotan,city,0.262,37.039,79.865,HTN,386
                    ,turpan,city,0.255,43.031,89.099,TLQ,415
                    ,tacheng,city,0.050,46.673,83.341,TCG,424
                    ,karamay,city,0.109,45.467,84.953,KRY,431
                    ,altay,city,0.142,47.750,88.086,AAT,459
                ,hong kong,state,
                ,macao|macau,state,
                ,beijing,state,
                ,chongqing,state,
                ,shanghai,state,
                ,tianjin,state,
            ,mongolia,country,
                ,bayankhongor,city,,46.163,100.704,BYN,845
                ,dalanzadgad,city,0.015,43.592,104.430,DLZ,846
                ,choibalsan,city,,48.136,114.646,COQ,847
                ,khatgal,city,,,,HTM,848
                ,altai,city,,46.376,96.221,LTI,849
                ,khovd,city,,47.954,91.628,HVD,850
                ,tosontsengel,city,,,,TNZ,851
                ,moron,city,,49.663,100.099,MXV,852
                ,ulaangom,city,0.036,50.067,91.938,ULO,853
                ,olgii,city,,48.993,89.923,ULG,854
                ,uliastai,city,,47.709,96.526,ULZ,855
                ,ulaanbaatar,city,0.885,47.843,106.767,ULN,856
            ,"korea, rep.|korea, south|south korea",country,
                ,won ju,city,,37.441,127.964,WJU,2798
                ,muan,city,,34.991,126.383,MWX,2799
                ,cheongju,city,0.775,36.717,127.499,CJJ,2800
                ,jeju,city,0.408,33.511,126.493,CJU,2801
                ,yangyang,city,,38.061,128.669,YNY,2802
                ,seoul,city,9.796,37.469,126.451,ICN,2803
                ,daegu,city,2.460,35.897,128.655,TAE,2804
                ,gunsan,city,,35.904,126.616,KUV,2805
                ,pusan,city,,35.180,128.938,PUS,2806
                ,yeosu,city,0.342,34.842,127.617,RSU,2807
                ,gwangju,city,1.440,35.123,126.805,KWJ,2808
                ,ulsan,city,1.061,35.593,129.352,USN,2809
            ,taiwan|taiwan*,country,
                ,taichung cingcyuangang,city,,24.265,120.621,RMQ,2822
                ,kinmen,city,,24.428,118.359,KNH,2823
                ,taitung,city,0.175,22.755,121.102,TTT,2824
                ,taipei,city,6.900,25.078,121.233,TPE,2825
                ,hualien,city,0.350,24.023,121.618,HUN,2826
                ,magong,city,0.056,23.569,119.628,MZG,2827
                ,kaohsiung,city,2.769,22.577,120.350,KHH,2828
            ,japan,country,
                ,odate,city,,40.192,140.371,ONJ,3101
                ,new ishigaki,city,,24.396,124.245,ISG,3102
                ,oshima,city,,34.782,139.360,OIM,3103
                ,oita,city,0.449,33.479,131.737,OIT,3104
                ,hanamaki,city,,39.429,141.135,HNA,3105
                ,tokyo,city,35.676,35.552,139.780,HND,3106
                ,miyazaki,city,0.324,31.877,131.449,KMI,3107
                ,komatsu,city,,36.395,136.407,KMQ,3108
                ,tottori,city,0.154,35.530,134.167,TTJ,3109
                ,okayama,city,0.866,34.757,133.855,OKJ,3110
                ,asahikawa,city,0.357,43.671,142.447,AKJ,3111
                ,miyako,city,,24.783,125.295,MMY,3112
                ,matsumoto,city,,36.167,137.923,MMJ,3113
                ,memambetsu,city,,43.881,144.164,MMB,3114
                ,kagoshima,city,0.555,31.803,130.719,KOJ,3115
                ,kushiro,city,,43.041,144.193,KUH,3116
                ,yonaguni jima,city,,24.467,122.978,OGN,3117
                ,rishiri,city,,45.242,141.186,RIS,3118
                ,hachijojima,city,,33.115,139.786,HAC,3119
                ,shonai,city,,38.812,139.787,SYO,3120
                ,shizuoka,city,0.702,,,FSZ,3121
                ,sendai,city,2.250,38.140,140.917,SDJ,3122
                ,kochi (jp),city,,33.546,133.669,KCZ,3123
                ,kume jima,city,,26.364,126.714,UEO,3124
                ,tsushima,city,,34.285,129.331,TSJ,3125
                ,tokushima,city,0.444,34.133,134.607,TKS,3126
                ,tokyo narita,city,,35.765,140.386,NRT,3127
                ,aomori,city,0.298,40.735,140.691,AOJ,3128
                ,nagasaki,city,0.435,32.917,129.914,NGS,3129
                ,nakashibetsu,city,,43.577,144.960,SHB,3130
                ,shirahama,city,,33.662,135.364,SHM,3131
                ,akita,city,0.320,39.616,140.219,AXT,3132
                ,iwakuni,city,,34.144,132.236,IWK,3133
                ,masuda,city,,34.676,131.790,IWJ,3134
                ,okinawa,city,,26.196,127.646,OKA,3135
                ,oki,city,,36.181,133.325,OKI,3136
                ,matsuyama,city,0.534,33.827,132.700,MYJ,3137
                ,miyakejima,city,,34.074,139.560,MYE,3138
                ,kitakyushu,city,,33.846,131.035,KKJ,3139
                ,fukushima,city,0.294,37.227,140.431,FKS,3140
                ,nagoya,city,3.230,34.858,136.805,NGO,3141
                ,wajima,city,,37.293,136.962,NTQ,3142
                ,toyama,city,0.333,36.648,137.188,TOY,3143
                ,hiroshima,city,2.045,34.436,132.919,HIJ,3144
                ,takamatsu,city,0.334,34.214,134.016,TAK,3145
                ,fukue,city,,32.666,128.833,FUJ,3146
                ,fukuoka,city,2.792,33.586,130.451,FUK,3147
                ,wakkanai,city,,45.404,141.801,WKJ,3148
                ,amami,city,,28.431,129.713,ASJ,3149
                ,izumo,city,,35.414,132.890,IZO,3150
                ,osaka,city,11.294,34.427,135.244,KIX,3151
                ,niigata,city,0.570,37.956,139.121,KIJ,3152
                ,kumamoto,city,0.718,32.837,130.855,KMJ,3153
                ,iki,city,,33.749,129.785,IKI,3154
                ,obihiro,city,,42.733,143.217,OBO,3155
                ,monbetsu,city,,44.304,143.404,MBE,3156
                ,yamagata,city,0.272,38.412,140.371,GAJ,3157
                ,sapporo,city,2.544,42.775,141.692,CTS,3158
                ,hakodate,city,0.303,41.770,140.822,HKD,3159
                ,misawa,city,,40.703,141.368,MSJ,3160
        ,central asia,region,
            ,kazakhstan,country,
                ,ust kamenogorsk,city,,50.037,82.494,UKK,656
                ,aktau,city,,43.860,51.092,SCO,657
                ,kyzylorda,city,,44.707,65.592,KZO,658
                ,aktobe,city,,50.246,57.207,AKX,659
                ,pavlodar,city,0.329,52.195,77.074,PWQ,660
                ,zaysan,city,0.018,,,SZI,661
                ,astana,city,,51.022,71.467,TSE,662
                ,atyrau,city,0.183,47.122,51.821,GUW,663
                ,uralsk,city,,51.151,51.543,URA,664
                ,kostanay,city,,53.207,63.550,KSN,665
                ,zhezkazgan,city,,47.708,67.733,DZN,666
                ,karaganda,city,,49.671,73.334,KGF,667
                ,almaty,city,1.209,43.352,77.040,ALA,668
                ,kokshetau,city,0.129,53.329,69.595,KOV,669
                ,taraz,city,0.358,42.854,71.304,DMB,670
                ,semey,city,0.311,50.351,80.234,PLX,671
                ,petropavlovsk (kz),city,,54.775,69.184,PPK,672
                ,shymkent,city,0.465,42.364,69.479,CIT,673
            ,turkmenistan,country,
                ,ashgabat,city,0.728,37.987,58.361,ASB,833
            ,tajikistan,country,
                ,qurghonteppa,city,0.312,37.866,68.865,KQT,974
                ,dushanbe,city,1.086,38.543,68.825,DYU,975
                ,kulob,city,0.115,37.988,69.805,TJU,976
                ,khujand,city,0.438,40.215,69.695,LBD,977
            ,uzbekistan,country,
                ,zarafshan,city,,41.614,64.233,AFS,2836
                ,namangan,city,0.750,40.985,71.557,NMA,2837
                ,nukus,city,0.230,42.488,59.623,NCU,2838
                ,karshi,city,,38.834,65.922,KSQ,2839
                ,andizhan,city,,40.728,72.294,AZN,2840
                ,tashkent,city,2.184,41.258,69.281,TAS,2841
                ,samarkand,city,0.708,39.701,66.984,SKD,2842
                ,navoi,city,,40.117,65.171,NVI,2843
                ,termez,city,,37.287,67.310,TMJ,2844
                ,bukhara,city,0.319,39.775,64.483,BHK,2845
                ,fergana,city,,40.359,71.745,FEG,2846
                ,urgench,city,,41.584,60.642,UGC,2847
            ,kyrgyzstan,country,
                ,bishkek,city,0.837,43.061,74.478,FRU,3161
                ,osh,city,0.391,40.609,72.793,OSS,3162
    ,europe,continent,
        ,eastern europe,region,
            ,belarus,country,
                ,gomel,city,,52.527,31.017,GME,902
                ,grodno,city,,53.602,24.054,GNA,903
                ,brest (by),city,,52.108,23.898,BQT,904
                ,minsk,city,1.805,53.882,28.031,MSQ,905
            ,moldova,country,
                ,chisinau,city,0.688,46.928,28.931,KIV,1441
            ,russian federation|russia,country,
                ,nadym,city,0.046,65.481,72.699,NYM,1796
                ,grozny,city,,,,GRV,1797
                ,nojabrsk,city,,63.183,75.270,NOJ,1798
                ,tyumen,city,,57.190,65.324,TJM,1799
                ,novokuznetsk,city,0.540,53.811,86.877,NOZ,1800
                ,nogliki,city,0.010,51.780,143.139,NGK,1801
                ,ust kut,city,,56.857,105.730,UKX,1802
                ,usinsk,city,,66.005,57.367,USK,1803
                ,yoshkar ola,city,0.324,56.701,47.905,JOK,1804
                ,mineralnye vody,city,,44.225,43.082,MRV,1805
                ,veliky ustyug,city,,60.788,46.260,VUS,1806
                ,khanty mansiysk,city,0.068,61.028,69.086,HMA,1807
                ,novy urengoy,city,,66.069,76.520,NUX,1808
                ,bratsk,city,0.246,56.371,101.698,BTK,1809
                ,chokurdakh,city,0.003,70.623,147.902,CKH,1810
                ,magnitogorsk,city,0.413,53.393,58.756,MQF,1811
                ,khonuu,city,,66.451,143.262,MQJ,1812
                ,varandey,city,,,,VRI,1813
                ,bor,city,,61.590,89.994,TGP,1814
                ,okha,city,0.027,,,OHH,1815
                ,sakkyryr,city,,67.792,130.394,SUK,1816
                ,suntar,city,0.009,62.185,117.635,SUY,1817
                ,nizhnekamsk,city,0.234,55.565,52.092,NBC,1818
                ,aldan,city,0.024,58.603,125.409,ADH,1819
                ,elista,city,0.107,46.374,44.331,ESL,1820
                ,syktyvkar,city,0.231,61.647,50.845,SCW,1821
                ,murmansk,city,0.319,68.782,32.751,MMK,1822
                ,yerbogachen,city,,61.275,108.030,ERG,1823
                ,turukhansk,city,0.005,65.797,87.935,THX,1824
                ,stavropol,city,,45.109,42.113,STW,1825
                ,samara,city,1.137,53.505,50.164,KUF,1826
                ,sashylakh,city,,71.928,114.080,SYS,1827
                ,neryungri,city,0.066,56.914,124.914,NER,1828
                ,saratov,city,0.843,51.565,46.047,RTW,1829
                ,srednekolymsk,city,0.003,67.481,153.736,SEK,1830
                ,yuzhno sakhalinsk,city,0.176,46.889,142.718,UUS,1831
                ,ulan ude,city,0.360,51.808,107.438,UUD,1832
                ,bugulma,city,,54.640,52.802,UUA,1833
                ,evensk,city,0.002,,,SWV,1834
                ,taganrog,city,0.279,47.198,38.849,TGK,1835
                ,nizhny novgorod,city,,56.230,43.784,GOJ,1836
                ,tarko sale,city,,64.931,77.818,TQL,1837
                ,gorno altaysk,city,0.060,51.967,85.833,RGK,1838
                ,leshukonskoye,city,,64.896,45.723,LDG,1839
                ,kazan,city,,55.606,49.279,KZN,1840
                ,penza,city,0.513,53.111,45.021,PEZ,1841
                ,perm,city,,57.915,56.021,PEE,1842
                ,norilsk,city,,69.311,87.332,NSK,1843
                ,igrim,city,0.010,,,IRM,1844
                ,nalchik,city,,43.513,43.637,NAL,1845
                ,bogorodskoye,city,,52.380,140.448,BQG,1846
                ,zonalnoye,city,,,,ZZO,1847
                ,blagoveschensk,city,,50.425,127.412,BQS,1848
                ,yekaterinburg,city,1.313,56.743,60.803,SVX,1849
                ,petrozavodsk,city,0.265,61.885,34.155,PES,1850
                ,komsomolsk na amure,city,,50.409,136.934,KXK,1851
                ,chita,city,0.308,52.026,113.306,HTA,1852
                ,bodaybo,city,0.016,57.866,114.243,ODO,1853
                ,olekminsk,city,0.010,60.397,120.471,OLZ,1854
                ,st petersburg,city,,59.800,30.263,LED,1855
                ,surgut,city,0.400,61.344,73.402,SGC,1856
                ,mirny,city,,62.535,114.039,MJZ,1857
                ,orenburg,city,0.550,51.796,55.457,REN,1858
                ,vladivostok,city,0.587,43.399,132.148,VVO,1859
                ,shakhtersk,city,,49.190,142.083,EKS,1860
                ,ufa,city,1.018,54.557,55.874,UFA,1861
                ,anadyr,city,,64.735,177.741,DYR,1862
                ,naryan mar,city,,67.640,53.122,NNM,1863
                ,dikson,city,0.001,73.518,80.380,DKS,1864
                ,sovetsky,city,,61.327,63.602,OVS,1865
                ,uray,city,0.040,60.103,64.827,URJ,1866
                ,kursk,city,0.409,51.751,36.296,URS,1867
                ,polyarny,city,,66.400,112.030,PYJ,1868
                ,kotlas,city,0.060,61.236,46.697,KSZ,1869
                ,novosibirsk,city,1.389,55.013,82.651,OVB,1870
                ,ust tsilma,city,,65.437,52.200,UTS,1871
                ,zyryanka,city,0.004,65.749,150.889,ZKP,1872
                ,kemerovo,city,0.477,55.270,86.107,KEJ,1873
                ,krasnoyarsk,city,0.925,56.173,92.493,KJA,1874
                ,pevek,city,0.005,69.783,170.597,PWE,1875
                ,yakutsk,city,0.236,62.093,129.771,YKS,1876
                ,ivanovo,city,0.421,56.939,40.941,IWA,1877
                ,nyagan,city,,62.110,65.615,NYA,1878
                ,igarka,city,0.007,67.437,86.622,IAA,1879
                ,yaroslavl,city,,57.561,40.157,IAR,1880
                ,saransk,city,0.303,54.125,45.212,SKX,1881
                ,khabarovsk,city,0.579,48.528,135.188,KHV,1882
                ,krasnodar,city,0.650,45.035,39.171,KRR,1883
                ,vorkuta,city,0.080,67.489,63.993,VKT,1884
                ,ukhta,city,0.102,63.567,53.805,UCT,1885
                ,chersky,city,,68.741,161.338,CYX,1886
